                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2838,                 1.0966,                 1.4116,                      0,                      0,                      0,                      0,                 1.5812,                0.47436,                 2.1227,                      0,                      0,                      0
                      2,                 1.3766,                  1.018,                 1.0745,                      0,                      0,                      0,                      0,                 1.5733,                0.51237,                 2.1113,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.0681,                 1.4685,                 1.5417,                      0,                      0,                      0,                      0,                 1.5759,                0.53733,                 2.1097,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.1828,                 1.4853,                0.92487,                      0,                      0,                      0,                      0,                  1.611,                0.46575,                  2.087,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.3425,                 1.2136,                 1.4444,                      0,                      0,                      0,                      0,                 1.6023,                0.47094,                  2.014,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.1532,                 1.3427,                 1.3869,                      0,                      0,                      0,                      0,                 1.5965,                0.45351,                 1.9425,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.1816,                 1.3693,                0.91877,                      0,                      0,                      0,                      0,                 1.6599,                 0.3974,                 1.9443,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                  1.073,                 1.6791,                 1.0896,                      0,                      0,                      0,                      0,                 1.6545,                0.39207,                 1.8903,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.2643,                 1.1062,                0.93637,                      0,                      0,                      0,                      0,                 1.6949,                0.31814,                 2.0752,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.2129,                 1.1728,                 1.4638,                      0,                      0,                      0,                      0,                 1.6186,                0.59691,                 2.0951,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.1928,                 1.1515,                 1.0139,                      0,                      0,                      0,                      0,                 1.5644,                0.64339,                 1.9391,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.3085,                 1.2677,                 1.0801,                      0,                      0,                      0,                      0,                 1.5087,                0.70167,                 1.7532,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.1847,                 1.0198,                0.89796,                      0,                      0,                      0,                      0,                 1.4255,                0.84781,                 1.5695,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 0.8898,                 2.0215,                 1.5696,                      0,                      0,                      0,                      0,                 1.5407,                0.86785,                  1.614,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 1.1211,                 1.2559,                0.73935,                      0,                      0,                      0,                      0,                 1.4366,                 1.0838,                  1.404,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.1563,                 1.3117,                 1.1342,                      0,                      0,                      0,                      0,                   1.36,                 1.0898,                 1.3745,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 1.2861,                 0.9381,                 1.0786,                      0,                      0,                      0,                      0,                 1.3328,                 1.2001,                 1.1676,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.2223,                0.92046,                0.91243,                      0,                      0,                      0,                      0,                 1.3328,                 1.2001,                 1.1676,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 1.3016,                  0.926,                 0.8966,                      0,                      0,                      0,                      0,                 1.4265,                 1.1379,                  1.274,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 1.1798,                0.99293,                 1.0995,                      0,                      0,                      0,                      0,                 1.4265,                 1.1379,                  1.274,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                   1.23,                 1.2302,                 1.3984,                      0,                      0,                      0,                      0,                 1.4458,                 1.1233,                 1.1292,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                0.97267,                 1.3402,                 1.1585,                      0,                      0,                      0,                      0,                 1.4458,                 1.1233,                 1.1292,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 1.0683,                 1.1905,                 1.1916,                      0,                      0,                      0,                      0,                 1.4262,                 1.1328,                 1.1765,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 1.1908,                 1.1017,                  1.766,                      0,                      0,                      0,                      0,                 1.4262,                 1.1328,                 1.1765,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                 1.1956,                 1.0911,                 1.2311,                      0,                      0,                      0,                      0,                 1.5201,                 1.0126,                 1.0904,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 1.2237,                0.78534,                 1.2789,                      0,                      0,                      0,                      0,                 1.5201,                 1.0126,                 1.0904,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 1.1488,                 1.1527,                 1.2943,                      0,                      0,                      0,                      0,                  1.397,                 1.1356,                 1.0851,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 1.2254,                0.82667,                 1.0868,                      0,                      0,                      0,                      0,                  1.397,                 1.1356,                 1.0851,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.95103,                 1.3191,                0.81262,                      0,                      0,                      0,                      0,                 1.3263,                 1.2425,                0.97921,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 1.1603,                 1.0338,                 1.2113,                      0,                      0,                      0,                      0,                 1.3263,                 1.2425,                0.97921,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                  1.103,                 1.0118,                0.76762,                      0,                      0,                      0,                      0,                 1.2998,                 1.3372,                0.94845,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 1.2269,                0.98411,                 1.1403,                      0,                      0,                      0,                      0,                 1.2998,                 1.3372,                0.94845,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                0.71119,                 2.2487,                 1.2098,                      0,                      0,                      0,                      0,                 1.3075,                  1.297,                0.93512,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.0752,                 1.0152,                0.91628,                      0,                      0,                      0,                      0,                 1.3075,                  1.297,                0.93512,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 1.0882,                 1.0782,                 1.1183,                      0,                      0,                      0,                      0,                 1.2576,                 1.4252,                0.81424,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 1.0441,                 1.2214,                0.76318,                      0,                      0,                      0,                      0,                 1.2576,                 1.4252,                0.81424,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.92017,                 1.3333,                0.83119,                      0,                      0,                      0,                      0,                 1.2501,                 1.4466,                0.82427,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.96008,                 1.4108,                0.79865,                      0,                      0,                      0,                      0,                 1.2501,                 1.4466,                0.82427,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                  1.083,                0.86059,                 1.2477,                      0,                      0,                      0,                      0,                 1.2071,                 1.5249,                0.78757,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 1.0767,                0.92414,                0.81513,                      0,                      0,                      0,                      0,                 1.2071,                 1.5249,                0.78757,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.99884,                 1.3164,                0.90916,                0.00538,                0.01667,                0.01828,                0.00415,                 1.1268,                 1.6006,                0.73538,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 1.2223,                 1.0201,                 1.4408,                0.00538,                0.01667,                0.01828,                0.00415,                 1.1268,                 1.6006,                0.73538,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.0719,                 1.3096,                 1.0992,                0.00314,                0.01667,                0.01726,                0.00224,                 1.1659,                 1.5516,                0.69055,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                  0.939,                 1.2383,                0.89856,                0.00314,                0.01667,                0.01726,                0.00224,                 1.1659,                 1.5516,                0.69055,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 1.0718,                0.86351,                 0.8733,                0.00314,                0.01667,                0.00671,                0.00209,                 1.1204,                 1.5335,                0.80059,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 0.9321,                  1.032,                0.91106,                0.00314,                0.01667,                0.00671,                0.00209,                 1.1204,                 1.5335,                0.80059,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 1.0012,                 1.2991,                 1.1959,                0.00476,                0.03333,                0.00552,                0.00116,                 1.0762,                 1.4718,                0.72238,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 1.0619,                0.89521,                0.91825,                0.00476,                0.03333,                0.00552,                0.00116,                 1.0762,                 1.4718,                0.72238,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.97096,                 1.3279,                 1.0725,                0.00187,                0.01667,                0.00261,                0.00026,                  1.144,                 1.3453,                0.89545,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 0.8615,                 1.0816,                0.90317,                0.00187,                0.01667,                0.00261,                0.00026,                  1.144,                 1.3453,                0.89545,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.98524,                0.86186,                0.71369,                0.00187,                0.01667,                0.00261,                0.00026,                 1.1354,                 1.4299,                0.86183,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.81922,                 1.1805,                0.88674,                0.00187,                0.01667,                0.00261,                0.00026,                 1.1354,                 1.4299,                0.86183,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.93998,                 1.2199,                0.85483,                0.00187,                0.01667,                0.00261,                0.00026,                 1.1354,                 1.4299,                0.86183,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 1.1165,                0.79535,                 1.0098,                0.00187,                0.01667,                0.00261,                0.00026,                 1.2578,                 1.1359,                0.90374,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 1.1058,                 1.0487,                 0.9257,                0.00187,                0.01667,                0.00261,                0.00026,                 1.2578,                 1.1359,                0.90374,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.1664,                 1.3347,                 1.2356,                0.00187,                0.01667,                0.00261,                0.00026,                 1.2578,                 1.1359,                0.90374,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.93156,                 1.0279,                 1.0511,                0.00187,                0.01667,                0.00261,                0.00026,                 1.2667,                 1.1633,                0.94754,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 1.0626,                0.86563,                 1.0319,                0.00187,                0.01667,                0.00261,                0.00026,                 1.2667,                 1.1633,                0.94754,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 1.0659,                0.81853,                 1.0235,                0.00187,                0.01667,                0.00261,                0.00026,                 1.2667,                 1.1633,                0.94754,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.91582,                  1.158,                 1.1652,                0.00187,                0.01667,                0.00261,                0.00026,                 1.3024,                 1.0315,                0.91938,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.85082,                0.97118,                 0.6642,                0.00187,                0.01667,                0.00261,                0.00026,                 1.3024,                 1.0315,                0.91938,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 1.1123,                0.64597,                0.78454,                0.00187,                0.01667,                0.00261,                0.00026,                 1.3024,                 1.0315,                0.91938,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 1.0699,                0.98263,                0.93778,                0.00187,                0.01667,                0.00261,                0.00026,                 1.4126,                0.88272,                0.96644,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.94225,                 0.9209,                0.82452,                0.00187,                0.01667,                0.00261,                0.00026,                 1.4126,                0.88272,                0.96644,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.77704,                 1.0242,                0.94069,                0.00187,                0.01667,                0.00261,                0.00026,                 1.4126,                0.88272,                0.96644,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 1.1164,                 1.0166,                  1.049,                 0.0026,                0.01667,                0.00155,                0.00016,                 1.1916,                  1.222,                0.86123,             2.7575e-05,             2.7575e-05,             2.7575e-05
